,mean,mean,std,std
metric,pr_auc,roc_auc,pr_auc,roc_auc
model,,,,
A_AngleVQC,0.48479250507690785,0.6384367575122292,0.1184796987601535,0.1067150876779974
B_HamVQC,0.42467684636746955,0.5764696016771488,0.024977593923513505,0.041031340328242766
C_HamKernelSVM,0.46713854463758553,0.6302648497554157,0.05179195115682428,0.03779720327362026
