,mean,mean,std,std
metric,pr_auc,roc_auc,pr_auc,roc_auc
model,,,,
A_AngleVQC,0.3906654888497083,0.5195373864430468,0.04652785977580601,0.04465941505327905
B_HamVQC,0.3603138619946497,0.4893494060097834,0.03811323034120052,0.05904161425120576
C_HamKernelSVM,0.4181612049325235,0.5654507337526206,0.04238086116087677,0.040288593324964476
