,mean,mean,std,std
metric,pr_auc,roc_auc,pr_auc,roc_auc
model,,,,
A_AngleVQC,0.4288160346817433,0.5851921733053808,0.0842418229642066,0.08100912256851119
B_HamVQC,0.4082080912793426,0.5486939203354297,0.031046636066428185,0.05314172094925638
C_HamKernelSVM,0.5708424851973881,0.7295108315863033,0.030670569806181484,0.024581930836601238
