model,metric,mean,std
A_AngleVQC,roc_auc,0.5851921733053808,0.08100912256851119
A_AngleVQC,pr_auc,0.4288160346817433,0.0842418229642066
B_HamVQC,roc_auc,0.5486939203354297,0.05314172094925638
B_HamVQC,pr_auc,0.4082080912793426,0.031046636066428185
C_HamKernelSVM,roc_auc,0.7295108315863033,0.024581930836601238
C_HamKernelSVM,pr_auc,0.5708424851973881,0.030670569806181484
