loss,val_auc,val_acc
0.708851506714154,0.4727164179104477,0.4635416666666667
0.6972129376842408,0.4721194029850746,0.5052083333333334
0.6989115195666322,0.4694925373134328,0.5104166666666666
0.6969477795748379,0.48979104477611946,0.5416666666666666
0.6936792687776655,0.48907462686567166,0.546875
0.6904590638284129,0.4786865671641791,0.5520833333333334
0.6883832291808213,0.5016119402985075,0.5208333333333334
0.6877335802842449,0.49755223880597016,0.5
0.6882851269847866,0.49014925373134327,0.5
0.6856615509754684,0.5142686567164179,0.53125
0.6855589848652496,0.5222686567164179,0.5364583333333334
0.6823649009775901,0.545910447761194,0.546875
0.6813630152750353,0.5706268656716418,0.5833333333333334
0.6820638233349161,0.5733731343283582,0.5729166666666666
0.6835937923364753,0.5752835820895523,0.5625
0.6840026880192385,0.5714626865671641,0.5416666666666666
0.6821741732125389,0.5730149253731343,0.5677083333333334
0.6825658890300635,0.5749253731343283,0.5520833333333334
0.6818498853309048,0.5794626865671642,0.5572916666666666
0.6827482593885105,0.581134328358209,0.5625
0.6823587769581633,0.5797014925373134,0.5520833333333334
0.6837302667769789,0.5760000000000001,0.5520833333333334
0.6838772776331655,0.5776716417910448,0.546875
0.6840109442982559,0.5767164179104478,0.5416666666666666
0.6836338099448388,0.572776119402985,0.5520833333333334
0.6835634987911979,0.5742089552238806,0.546875
0.684639988148029,0.5739701492537314,0.5416666666666666
0.684996964874376,0.5752835820895523,0.5625
0.6833661678716335,0.5769552238805971,0.546875
0.6836986746689778,0.5742089552238807,0.5572916666666666
0.6846085891063151,0.5757611940298508,0.5520833333333334
0.684935232532092,0.5751641791044777,0.5520833333333334
0.6841100225926987,0.5765970149253732,0.546875
0.6853268125590883,0.572179104477612,0.5572916666666666
0.6850450041444253,0.5738507462686566,0.5416666666666666
0.6842320026423904,0.5764776119402985,0.546875
0.6842765982229397,0.5722985074626865,0.5572916666666666
0.683047390726102,0.5791044776119403,0.546875
0.6845340209773868,0.5707462686567164,0.546875
0.6851159005005364,0.5748059701492538,0.546875
0.6845685255720548,0.5746865671641792,0.5416666666666666
0.6838821601802508,0.5757611940298507,0.5520833333333334
0.6835407427845919,0.5765970149253731,0.5572916666666666
0.6845196538804466,0.574089552238806,0.546875
0.6852239910934003,0.5709850746268657,0.5572916666666666
0.6846040554710927,0.5738507462686566,0.546875
0.6847914557421495,0.5785074626865672,0.5520833333333334
0.6839465436764245,0.5750447761194031,0.546875
